cellnumber     x-coordinate     y-coordinate     x-coordinate     y-coordinate         pressure velocity-magnitude       x-velocity       y-velocity 
         1  1.975493824E-05  2.500967177E-07  1.975493824E-05  2.500967177E-07  1.480740001E+00  7.451320061E-03  7.451318379E-03 -5.007366185E-06 
         2  1.975438741E-05  7.501299845E-07  1.975438741E-05  7.501299845E-07  1.471683242E+00  2.087240018E-02  2.087239972E-02 -4.390948327E-06 
         3  1.926451242E-05  2.494420745E-07  1.926451242E-05  2.494420745E-07  4.425897184E+00  7.453951855E-03  7.453950810E-03 -3.947659507E-06 
         4  1.926365578E-05  7.504980290E-07  1.926365578E-05  7.504980290E-07  4.420712299E+00  2.091415030E-02  2.091415003E-02 -3.356352886E-06 
         5  1.975303690E-05  1.250341656E-06  1.975303690E-05  1.250341656E-06  1.475729272E+00  3.281604448E-02  3.281604361E-02 -7.547556938E-06 
         6  1.877205648E-05  2.499997719E-07  1.877205648E-05  2.499997719E-07  7.331574374E+00  7.456833039E-03  7.456832640E-03 -2.437325412E-06 
         7  1.877163527E-05  7.499518084E-07  1.877163527E-05  7.499518084E-07  7.329728827E+00  2.088296203E-02  2.088296194E-02 -1.908438546E-06 
         8  1.925906872E-05  1.250281009E-06  1.925906872E-05  1.250281009E-06  4.451836689E+00  3.284859178E-02  3.284859078E-02 -8.091698623E-06 
         9  1.975151880E-05  1.750169783E-06  1.975151880E-05  1.750169783E-06  1.492577911E+00  4.325772862E-02  4.325772744E-02 -1.007730021E-05 
        10  1.827790871E-05  2.499997719E-07  1.827790871E-05  2.499997719E-07  1.028076224E+01  7.457488286E-03  7.457487505E-03 -3.412000329E-06 
        11  1.876468006E-05  1.250369461E-06  1.876468006E-05  1.250369461E-06  7.374852424E+00  3.283199522E-02  3.283199437E-02 -7.483976503E-06 
        12  1.827831150E-05  7.495906941E-07  1.827831150E-05  7.495906941E-07  1.027499057E+01  2.087422119E-02  2.087422112E-02 -1.702928278E-06 
        13  1.925462334E-05  1.750477397E-06  1.925462334E-05  1.750477397E-06  4.483152197E+00  4.329842465E-02  4.329842355E-02 -9.739732626E-06 
        14  1.975075949E-05  2.250084633E-06  1.975075949E-05  2.250084633E-06  1.503439245E+00  5.221320471E-02  5.221320374E-02 -1.002194856E-05 
        15  1.778376094E-05  2.499997719E-07  1.778376094E-05  2.499997719E-07  1.321742899E+01  7.454393376E-03  7.454392691E-03 -3.196997695E-06 
        16  1.827213997E-05  1.249485943E-06  1.827213997E-05  1.249485943E-06  1.031734356E+01  3.281288160E-02  3.281288086E-02 -6.942650745E-06 
        17  1.875837989E-05  1.750146761E-06  1.875837989E-05  1.750146761E-06  7.414514821E+00  4.327648812E-02  4.327648713E-02 -9.217121608E-06 
        18  1.778563376E-05  7.494634556E-07  1.778563376E-05  7.494634556E-07  1.320522358E+01  2.086615860E-02  2.086615848E-02 -2.219727536E-06 
        19  1.925177208E-05  2.250084427E-06  1.925177208E-05  2.250084427E-06  4.504785693E+00  5.224844391E-02  5.224844297E-02 -9.920082430E-06 
        20  1.975037976E-05  2.750042252E-06  1.975037976E-05  2.750042252E-06  1.508072000E+00  5.967966362E-02  5.967966301E-02 -8.541743941E-06 
        21  1.728961317E-05  2.499997719E-07  1.728961317E-05  2.499997719E-07  1.615521898E+01  7.452969851E-03  7.452969306E-03 -2.848976566E-06 
        22  1.826514373E-05  1.750811663E-06  1.826514373E-05  1.750811663E-06  1.036208618E+01  4.329115725E-02  4.329115653E-02 -7.893984005E-06 
        23  1.778254693E-05  1.249507897E-06  1.778254693E-05  1.249507897E-06  1.322747288E+01  3.280869987E-02  3.280869926E-02 -6.317220697E-06 
        24  1.875382288E-05  2.250627538E-06  1.875382288E-05  2.250627538E-06  7.445135482E+00  5.224417329E-02  5.224417250E-02 -9.085533840E-06 
        25  1.729327008E-05  7.497520804E-07  1.729327008E-05  7.497520804E-07  1.613526365E+01  2.087260651E-02  2.087260640E-02 -2.152329720E-06 
        26  1.925082289E-05  2.749978872E-06  1.925082289E-05  2.749978872E-06  4.513494995E+00  5.971536929E-02  5.971536869E-02 -8.456017000E-06 
        27  1.975018989E-05  3.250021110E-06  1.975018989E-05  3.250021110E-06  1.510283540E+00  6.565564127E-02  6.565564090E-02 -6.993935352E-06 
        28  1.679546540E-05  2.499997719E-07  1.679546540E-05  2.499997719E-07  1.908347570E+01  7.450736824E-03  7.450736330E-03 -2.712579394E-06 
        29  1.777570279E-05  1.749420393E-06  1.777570279E-05  1.749420393E-06  1.327616937E+01  4.326254520E-02  4.326254482E-02 -5.764299996E-06 
        30  1.825813064E-05  2.250132258E-06  1.825813064E-05  2.250132258E-06  1.041157527E+01  5.223884369E-02  5.223884318E-02 -7.361207424E-06 
        31  1.729290643E-05  1.249439978E-06  1.729290643E-05  1.249439978E-06  1.614513268E+01  3.280851766E-02  3.280851737E-02 -4.375378650E-06 
        32  1.875113923E-05  2.750084441E-06  1.875113923E-05  2.750084441E-06  7.466304821E+00  5.970421465E-02  5.970421408E-02 -8.236848847E-06 
        33  1.679912376E-05  7.502455461E-07  1.679912376E-05  7.502455461E-07  1.906701833E+01  2.088290829E-02  2.088290829E-02 -1.752528100E-07 
        34  1.925044307E-05  3.250021092E-06  1.925044307E-05  3.250021092E-06  4.517112197E+00  6.569278900E-02  6.569278866E-02 -6.659295382E-06 
        35  1.975009495E-05  3.750010551E-06  1.975009495E-05  3.750010551E-06  1.512179893E+00  7.013934313E-02  7.013934299E-02 -4.315191906E-06 
        36  1.630131762E-05  2.499997719E-07  1.630131762E-05  2.499997719E-07  2.200121439E+01  7.450212632E-03  7.450212312E-03 -2.184770932E-06 
        37  1.776730139E-05  2.250388342E-06  1.776730139E-05  2.250388342E-06  1.333776204E+01  5.224395956E-02  5.224395938E-02 -4.331309166E-06 
        38  1.728793909E-05  1.750060194E-06  1.728793909E-05  1.750060194E-06  1.618538229E+01  4.327734557E-02  4.327734555E-02 -1.344557889E-06 
        39  1.825377328E-05  2.750195721E-06  1.825377328E-05  2.750195721E-06  1.044419056E+01  5.971050042E-02  5.971050010E-02 -6.160524156E-06 
        40  1.680095024E-05  1.249629995E-06  1.680095024E-05  1.249629995E-06  1.906915610E+01  3.281395815E-02  3.281395815E-02 -2.722254415E-07 
        41  1.875056970E-05  3.249978879E-06  1.875056970E-05  3.249978879E-06  7.472264714E+00  6.567995238E-02  6.567995214E-02 -5.716061048E-06 
        42  1.630497454E-05  7.497520802E-07  1.630497454E-05  7.497520802E-07  2.198887355E+01  2.087439811E-02  2.087439784E-02  3.372905825E-06 
        43  1.925020572E-05  3.749994719E-06  1.925020572E-05  3.749994719E-06  4.520968736E+00  7.017667154E-02  7.017667144E-02 -3.807019250E-06 
        44  1.975004747E-05  4.250005274E-06  1.975004747E-05  4.250005274E-06  1.506343142E+00  7.312831747E-02  7.312831732E-02 -4.651417007E-06 
        45  1.580716985E-05  2.499997718E-07  1.580716985E-05  2.499997718E-07  2.490406318E+01  7.450820124E-03  7.450820049E-03 -1.056515632E-06 
        46  1.727865516E-05  2.249963378E-06  1.727865516E-05  2.249963378E-06  1.625870796E+01  5.224035861E-02  5.224035854E-02  2.866649632E-06 
        47  1.776053789E-05  2.750291166E-06  1.776053789E-05  2.750291166E-06  1.338839544E+01  5.971263186E-02  5.971263184E-02 -1.556162719E-06 
        48  1.679748995E-05  1.749895412E-06  1.679748995E-05  1.749895412E-06  1.910710956E+01  4.327973209E-02  4.327973114E-02  9.046652050E-06 
        49  1.825201340E-05  3.250139899E-06  1.825201340E-05  3.250139899E-06  1.046061216E+01  6.568726652E-02  6.568726642E-02 -3.659101675E-06 
        50  1.630680571E-05  1.250370188E-06  1.630680571E-05  1.250370188E-06  2.200136275E+01  3.284062398E-02  3.284062275E-02  8.978402630E-06 
        51  1.875028483E-05  3.750021096E-06  1.875028483E-05  3.750021096E-06  7.477382295E+00  7.016424905E-02  7.016424897E-02 -3.305151020E-06 
        52  1.581082821E-05  7.502455457E-07  1.581082821E-05  7.502455457E-07  2.489734600E+01  2.089442435E-02  2.089442179E-02  1.034386372E-05 
        53  1.925011077E-05  4.250005272E-06  1.925011077E-05  4.250005272E-06  4.513460340E+00  7.316762707E-02  7.316762700E-02 -3.353041497E-06 
        54  1.975002374E-05  4.750002637E-06  1.975002374E-05  4.750002637E-06  1.517862532E+00  7.462481411E-02  7.462481394E-02  5.021070939E-06 
        55  1.531302208E-05  2.499997716E-07  1.531302208E-05  2.499997716E-07  2.779021610E+01  7.455563543E-03  7.455563482E-03  9.580974672E-07 
        56  1.726959566E-05  2.750126961E-06  1.726959566E-05  2.750126961E-06  1.632919251E+01  5.971441642E-02  5.971441591E-02  7.783843748E-06 
        57  1.678807284E-05  2.249927470E-06  1.678807284E-05  2.249927470E-06  1.918991997E+01  5.224735212E-02  5.224734935E-02  1.699080129E-05 
        58  1.775627597E-05  3.250215053E-06  1.775627597E-05  3.250215053E-06  1.342452348E+01  6.568859925E-02  6.568859923E-02  1.459258927E-06 
        59  1.630416037E-05  1.749824040E-06  1.630416037E-05  1.749824040E-06  2.204488797E+01  4.329124293E-02  4.329123468E-02  2.672287205E-05 
        60  1.825110962E-05  3.750067127E-06  1.825110962E-05  3.750067127E-06  1.047218473E+01  7.016974007E-02  7.016974006E-02 -1.140656370E-06 
        61  1.581265469E-05  1.249629994E-06  1.581265469E-05  1.249629994E-06  2.492531366E+01  3.284174080E-02  3.284173029E-02  2.627256140E-05 
        62  1.875014242E-05  4.249994721E-06  1.875014242E-05  4.249994721E-06  7.478811770E+00  7.315404433E-02  7.315404429E-02 -2.423026427E-06 
        63  1.531667900E-05  7.497520795E-07  1.531667900E-05  7.497520795E-07  2.779060412E+01  2.090375111E-02  2.090373877E-02  2.271285892E-05 
        64  1.925005143E-05  4.749998680E-06  1.925005143E-05  4.749998680E-06  4.521768744E+00  7.466228636E-02  7.466228631E-02  2.909502571E-06 
        65  1.975001187E-05  5.250001318E-06  1.975001187E-05  5.250001318E-06  1.518141723E+00  7.462360487E-02  7.462360469E-02 -5.191375651E-06 
