cellnumber     x-coordinate     y-coordinate     x-coordinate     y-coordinate         pressure velocity-magnitude       x-velocity       y-velocity 
         1  1.975493824E-05  2.500967177E-07  1.975493824E-05  2.500967177E-07  1.477130390E+01  7.445203955E-02  7.445202250E-02 -5.038142896E-05 
         2  1.975438741E-05  7.501299845E-07  1.975438741E-05  7.501299845E-07  1.466722107E+01  2.085955953E-01  2.085955866E-01 -6.016019822E-05 
         3  1.926451242E-05  2.494420745E-07  1.926451242E-05  2.494420745E-07  4.407827252E+01  7.446422098E-02  7.446421088E-02 -3.878746932E-05 
         4  1.926365578E-05  7.504980290E-07  1.926365578E-05  7.504980290E-07  4.401018407E+01  2.089856684E-01  2.089856618E-01 -5.233576445E-05 
         5  1.975303690E-05  1.250341656E-06  1.975303690E-05  1.250341656E-06  1.470891417E+01  3.280184867E-01  3.280184683E-01 -1.100015102E-04 
         6  1.877205648E-05  2.499997719E-07  1.877205648E-05  2.499997719E-07  7.298725061E+01  7.448281141E-02  7.448280655E-02 -2.689135866E-05 
         7  1.877163527E-05  7.499518084E-07  1.877163527E-05  7.499518084E-07  7.297048076E+01  2.086522779E-01  2.086522733E-01 -4.358363574E-05 
         8  1.925906872E-05  1.250281009E-06  1.925906872E-05  1.250281009E-06  4.432378330E+01  3.283088624E-01  3.283088404E-01 -1.201499472E-04 
         9  1.975151880E-05  1.750169783E-06  1.975151880E-05  1.750169783E-06  1.487402970E+01  4.324669369E-01  4.324669116E-01 -1.479737186E-04 
        10  1.827790871E-05  2.499997719E-07  1.827790871E-05  2.499997719E-07  1.023200152E+02  7.447646816E-02  7.447645866E-02 -3.761308536E-05 
        11  1.876468006E-05  1.250369461E-06  1.876468006E-05  1.250369461E-06  7.341750032E+01  3.281219893E-01  3.281219668E-01 -1.212660057E-04 
        12  1.827831150E-05  7.495906941E-07  1.827831150E-05  7.495906941E-07  1.022670982E+02  2.085396187E-01  2.085396135E-01 -4.651136055E-05 
        13  1.925462334E-05  1.750477397E-06  1.925462334E-05  1.750477397E-06  4.463172482E+01  4.328390147E-01  4.328389870E-01 -1.547335348E-04 
        14  1.975075949E-05  2.250084633E-06  1.975075949E-05  2.250084633E-06  1.497851653E+01  5.220836840E-01  5.220836603E-01 -1.573007679E-04 
        15  1.778376094E-05  2.499997719E-07  1.778376094E-05  2.499997719E-07  1.314804587E+02  7.442966721E-02  7.442965869E-02 -3.562160194E-05 
        16  1.827213997E-05  1.249485943E-06  1.827213997E-05  1.249485943E-06  1.027135014E+02  3.279072274E-01  3.279072048E-01 -1.216860047E-04 
        17  1.875837989E-05  1.750146761E-06  1.875837989E-05  1.750146761E-06  7.382786274E+01  4.326065970E-01  4.326065672E-01 -1.606347267E-04 
        18  1.778563376E-05  7.494634556E-07  1.778563376E-05  7.494634556E-07  1.313705770E+02  2.084345919E-01  2.084345856E-01 -5.118423380E-05 
        19  1.925177208E-05  2.250084427E-06  1.925177208E-05  2.250084427E-06  4.487255091E+01  5.224080397E-01  5.224080123E-01 -1.692630865E-04 
        20  1.975037976E-05  2.750042252E-06  1.975037976E-05  2.750042252E-06  1.502067325E+01  5.968250968E-01  5.968250794E-01 -1.442268096E-04 
        21  1.728961317E-05  2.499997719E-07  1.728961317E-05  2.499997719E-07  1.605942790E+02  7.440006922E-02  7.440006224E-02 -3.223712875E-05 
        22  1.826514373E-05  1.750811663E-06  1.826514373E-05  1.750811663E-06  1.032061326E+02  4.327418497E-01  4.327418247E-01 -1.469917264E-04 
        23  1.778254693E-05  1.249507897E-06  1.778254693E-05  1.249507897E-06  1.316344144E+02  3.278496839E-01  3.278496653E-01 -1.103324327E-04 
        24  1.875382288E-05  2.250627538E-06  1.875382288E-05  2.250627538E-06  7.419724384E+01  5.223636406E-01  5.223636129E-01 -1.702445943E-04 
        25  1.729327008E-05  7.497520804E-07  1.729327008E-05  7.497520804E-07  1.604296980E+02  2.084816119E-01  2.084816072E-01 -4.407004920E-05 
        26  1.925082289E-05  2.749978872E-06  1.925082289E-05  2.749978872E-06  4.498413012E+01  5.971622869E-01  5.971622664E-01 -1.565158908E-04 
        27  1.975018989E-05  3.250021110E-06  1.975018989E-05  3.250021110E-06  1.503915502E+01  6.566602021E-01  6.566601911E-01 -1.201242453E-04 
        28  1.679546540E-05  2.499997719E-07  1.679546540E-05  2.499997719E-07  1.895450244E+02  7.436640628E-02  7.436640050E-02 -2.933838169E-05 
        29  1.777570279E-05  1.749420393E-06  1.777570279E-05  1.749420393E-06  1.322124911E+02  4.324530155E-01  4.324530020E-01 -1.080633181E-04 
        30  1.825813064E-05  2.250132258E-06  1.825813064E-05  2.250132258E-06  1.037926986E+02  5.223119542E-01  5.223119345E-01 -1.435679437E-04 
        31  1.729290643E-05  1.249439978E-06  1.729290643E-05  1.249439978E-06  1.606005252E+02  3.278454510E-01  3.278454440E-01 -6.821920108E-05 
        32  1.875113923E-05  2.750084441E-06  1.875113923E-05  2.750084441E-06  7.446895109E+01  5.970629733E-01  5.970629523E-01 -1.582139094E-04 
        33  1.679912376E-05  7.502455461E-07  1.679912376E-05  7.502455461E-07  1.894433538E+02  2.085835690E-01  2.085835688E-01 -8.332172714E-06 
        34  1.925044307E-05  3.250021092E-06  1.925044307E-05  3.250021092E-06  4.505995527E+01  6.570205700E-01  6.570205575E-01 -1.282665048E-04 
        35  1.975009495E-05  3.750010551E-06  1.975009495E-05  3.750010551E-06  1.506387352E+01  7.015593060E-01  7.015593018E-01 -7.635504140E-05 
        36  1.630131762E-05  2.499997719E-07  1.630131762E-05  2.499997719E-07  2.183102536E+02  7.435867906E-02  7.435867630E-02 -2.028287320E-05 
        37  1.776730139E-05  2.250388342E-06  1.776730139E-05  2.250388342E-06  1.329631443E+02  5.223763964E-01  5.223763906E-01 -7.789570927E-05 
        38  1.728793909E-05  1.750060194E-06  1.728793909E-05  1.750060194E-06  1.611393582E+02  4.326208749E-01  4.326208745E-01 -1.734186099E-05 
        39  1.825377328E-05  2.750195721E-06  1.825377328E-05  2.750195721E-06  1.042245343E+02  5.971387798E-01  5.971387678E-01 -1.196111687E-04 
        40  1.680095024E-05  1.249629995E-06  1.680095024E-05  1.249629995E-06  1.895843342E+02  3.279273966E-01  3.279273960E-01  1.844495507E-05 
        41  1.875056970E-05  3.249978879E-06  1.875056970E-05  3.249978879E-06  7.460937661E+01  6.569176965E-01  6.569176857E-01 -1.191519097E-04 
        42  1.630497454E-05  7.497520802E-07  1.630497454E-05  7.497520802E-07  2.182835787E+02  2.085246434E-01  2.085246356E-01  5.710059270E-05 
        43  1.925020572E-05  3.749994719E-06  1.925020572E-05  3.749994719E-06  4.513925499E+01  7.019273727E-01  7.019273681E-01 -8.017623546E-05 
        44  1.975004747E-05  4.250005274E-06  1.975004747E-05  4.250005274E-06  1.500339047E+01  7.314907963E-01  7.314907941E-01 -5.710022958E-05 
        45  1.580716985E-05  2.499997718E-07  1.580716985E-05  2.499997718E-07  2.468485473E+02  7.437678410E-02  7.437678408E-02 -1.343162856E-06 
        46  1.727865516E-05  2.249963378E-06  1.727865516E-05  2.249963378E-06  1.620696201E+02  5.223747864E-01  5.223747820E-01  6.778732327E-05 
        47  1.776053789E-05  2.750291166E-06  1.776053789E-05  2.750291166E-06  1.336310457E+02  5.971825652E-01  5.971825647E-01 -2.469512141E-05 
        48  1.679748995E-05  1.749895412E-06  1.679748995E-05  1.749895412E-06  1.901602799E+02  4.326982446E-01  4.326982106E-01  1.716079334E-04 
        49  1.825201340E-05  3.250139899E-06  1.825201340E-05  3.250139899E-06  1.045087949E+02  6.570099202E-01  6.570099161E-01 -7.330845245E-05 
        50  1.630680571E-05  1.250370188E-06  1.630680571E-05  1.250370188E-06  2.185958717E+02  3.282661923E-01  3.282661388E-01  1.874278081E-04 
        51  1.875028483E-05  3.750021096E-06  1.875028483E-05  3.750021096E-06  7.473567206E+01  7.018379235E-01  7.018379197E-01 -7.335319113E-05 
        52  1.581082821E-05  7.502455457E-07  1.581082821E-05  7.502455457E-07  2.469076213E+02  2.087986819E-01  2.087986083E-01  1.752398692E-04 
        53  1.925011077E-05  4.250005272E-06  1.925011077E-05  4.250005272E-06  4.508554349E+01  7.318786583E-01  7.318786567E-01 -4.842139864E-05 
        54  1.975002374E-05  4.750002637E-06  1.975002374E-05  4.750002637E-06  1.511644850E+01  7.464723982E-01  7.464723961E-01  5.653722678E-05 
        55  1.531302208E-05  2.499997716E-07  1.531302208E-05  2.499997716E-07  2.751176281E+02  7.445992261E-02  7.445991786E-02  2.658724283E-05 
        56  1.726959566E-05  2.750126961E-06  1.726959566E-05  2.750126961E-06  1.630071105E+02  5.972358423E-01  5.972358198E-01  1.640209822E-04 
        57  1.678807284E-05  2.249927470E-06  1.678807284E-05  2.249927470E-06  1.912686198E+02  5.225103269E-01  5.225102184E-01  3.367922697E-04 
        58  1.775627597E-05  3.250215053E-06  1.775627597E-05  3.250215053E-06  1.341762659E+02  6.570477682E-01  6.570477673E-01  3.483818130E-05 
        59  1.630416037E-05  1.749824040E-06  1.630416037E-05  1.749824040E-06  2.193126843E+02  4.329211367E-01  4.329208635E-01  4.863280118E-04 
        60  1.825110962E-05  3.750067127E-06  1.825110962E-05  3.750067127E-06  1.047260305E+02  7.019139127E-01  7.019139121E-01 -2.888379514E-05 
        61  1.581265469E-05  1.249629994E-06  1.581265469E-05  1.249629994E-06  2.474744269E+02  3.284202930E-01  3.284199471E-01  4.767173532E-04 
        62  1.875014242E-05  4.249994721E-06  1.875014242E-05  4.249994721E-06  7.480552028E+01  7.317868814E-01  7.317868806E-01 -3.521840693E-05 
        63  1.531667900E-05  7.497520795E-07  1.531667900E-05  7.497520795E-07  2.753156002E+02  2.090323953E-01  2.090320703E-01  3.686256540E-04 
        64  1.925005143E-05  4.749998680E-06  1.925005143E-05  4.749998680E-06  4.516036113E+01  7.468375823E-01  7.468375811E-01  4.221408470E-05 
        65  1.975001187E-05  5.250001318E-06  1.975001187E-05  5.250001318E-06  1.511857426E+01  7.464550837E-01  7.464550836E-01 -9.939034859E-06 
        66  1.481887431E-05  2.499997713E-07  1.481887431E-05  2.499997713E-07  3.030802452E+02  7.463610599E-02  7.463607654E-02  6.630096300E-05 
        67  1.677883411E-05  2.750026271E-06  1.677883411E-05  2.750026271E-06  1.923749258E+02  5.973334895E-01  5.973332756E-01  5.056022045E-04 
        68  1.726293559E-05  3.250171023E-06  1.726293559E-05  3.250171023E-06  1.638451599E+02  6.570962721E-01  6.570962263E-01  2.454046016E-04 
        69  1.629611675E-05  2.249874605E-06  1.629611675E-05  2.249874605E-06  2.205522439E+02  5.227441394E-01  5.227435277E-01  7.997067242E-04 
        70  1.775369298E-05  3.750140770E-06  1.775369298E-05  3.750140770E-06  1.345723987E+02  7.019350162E-01  7.019350131E-01  6.671140843E-05 
        71  1.581041823E-05  1.750034920E-06  1.581041823E-05  1.750034920E-06  2.484241214E+02  4.333969086E-01  4.333957449E-01  1.004364755E-03 
        72  1.825058648E-05  4.250044085E-06  1.825058648E-05  4.250044085E-06  1.048677809E+02  7.318489637E-01  7.318489637E-01  6.106908248E-06 
        73  1.531851017E-05  1.250370187E-06  1.531851017E-05  1.250370187E-06  2.762403655E+02  3.291959294E-01  3.291945829E-01  9.415513654E-04 
        74  1.875007121E-05  4.750005273E-06  1.875007121E-05  4.750005273E-06  7.496387218E+01  7.467390652E-01  7.467390651E-01  1.147301896E-05 
        75  1.482253267E-05  7.502455439E-07  1.482253267E-05  7.502455439E-07  3.035067799E+02  2.097729106E-01  2.097718324E-01  6.725811362E-04 
        76  1.925002769E-05  5.250001318E-06  1.925002769E-05  5.250001318E-06  4.516082485E+01  7.468186171E-01  7.468186170E-01  9.761117980E-06 
        77  1.975000593E-05  5.750000659E-06  1.975000593E-05  5.750000659E-06  1.502043099E+01  7.314428442E-01  7.314428375E-01  9.894230600E-05 
        78  1.432472654E-05  2.499997706E-07  1.432472654E-05  2.499997706E-07  3.307538876E+02  7.497566293E-02  7.497555421E-02  1.276822086E-04 
        79  1.677088461E-05  3.250098376E-06  1.677088461E-05  3.250098376E-06  1.934904672E+02  6.571299784E-01  6.571296898E-01  6.158596830E-04 
        80  1.628747548E-05  2.749949380E-06  1.628747548E-05  2.749949380E-06  2.218475290E+02  5.974938761E-01  5.974929167E-01  1.070734681E-03 
        81  1.725831434E-05  3.750155799E-06  1.725831434E-05  3.750155799E-06  1.644688885E+02  7.019401523E-01  7.019401081E-01  2.489925690E-04 
        82  1.580326734E-05  2.249954146E-06  1.580326734E-05  2.249954146E-06  2.499127272E+02  5.231736656E-01  5.231713907E-01  1.542835099E-03 
        83  1.775213981E-05  4.250092291E-06  1.775213981E-05  4.250092291E-06  1.348970202E+02  7.318522335E-01  7.318522284E-01  8.645957232E-05 
        84  1.531647665E-05  1.749893829E-06  1.531647665E-05  1.749893829E-06  2.775330296E+02  4.340926693E-01  4.340888534E-01  1.820138180E-03 
        85  1.825031896E-05  4.750021365E-06  1.825031896E-05  4.750021365E-06  1.049258081E+02  7.467764470E-01  7.467764461E-01  3.541282264E-05 
        86  1.482435914E-05  1.249629993E-06  1.482435914E-05  1.249629993E-06  3.049201032E+02  3.300385026E-01  3.300343303E-01  1.659516705E-03 
        87  1.875003561E-05  5.249998680E-06  1.875003561E-05  5.249998680E-06  7.496481661E+01  7.467179325E-01  7.467179309E-01  4.845304768E-05 
        88  1.432838344E-05  7.497520765E-07  1.432838344E-05  7.497520765E-07  3.314822774E+02  2.107224582E-01  2.107194036E-01  1.134606911E-03 
        89  1.925001286E-05  5.749999670E-06  1.925001286E-05  5.749999670E-06  4.510247927E+01  7.318240210E-01  7.318240146E-01  9.679444861E-05 
        90  1.975000297E-05  6.250000330E-06  1.975000297E-05  6.250000330E-06  1.508413507E+01  7.014809864E-01  7.014809772E-01  1.137214682E-04 
        91  1.383057876E-05  2.499997694E-07  1.383057876E-05  2.499997694E-07  3.581882000E+02  7.554769218E-02  7.554737136E-02  2.201691401E-04 
        92  1.627917995E-05  3.250023269E-06  1.627917995E-05  3.250023269E-06  2.232394268E+02  6.571449591E-01  6.571438281E-01  1.219238381E-03 
        93  1.676597055E-05  3.749631727E-06  1.676597055E-05  3.749631727E-06  1.942651469E+02  7.018493859E-01  7.018491626E-01  5.598682445E-04 
        94  1.579537144E-05  2.749951022E-06  1.579537144E-05  2.749951022E-06  2.514637808E+02  5.977519285E-01  5.977486879E-01  1.968274661E-03 
        95  1.725522716E-05  4.250123928E-06  1.725522716E-05  4.250123928E-06  1.650256711E+02  7.318088126E-01  7.318087762E-01  2.308864918E-04 
        96  1.530987203E-05  2.249923497E-06  1.530987203E-05  2.249923497E-06  2.793866726E+02  5.238245730E-01  5.238176436E-01  2.694356195E-03 
        97  1.775122942E-05  4.750056764E-06  1.775122942E-05  4.750056764E-06  1.349777392E+02  7.467667145E-01  7.467667130E-01  4.745101311E-05 
        98  1.482242888E-05  1.750069966E-06  1.482242888E-05  1.750069966E-06  3.066814293E+02  4.353112050E-01  4.353004242E-01  3.063634087E-03 
        99  1.825016739E-05  5.250013316E-06  1.825016739E-05  5.250013316E-06  1.049301563E+02  7.467511898E-01  7.467511891E-01  3.271418895E-05 
       100  1.433021461E-05  1.250370182E-06  1.433021461E-05  1.250370182E-06  3.335877441E+02  3.318474978E-01  3.318362066E-01  2.737482217E-03 
       101  1.875001780E-05  5.750001318E-06  1.875001780E-05  5.750001318E-06  7.481534635E+01  7.317287217E-01  7.317287161E-01  9.052714414E-05 
       102  1.383423710E-05  7.502455368E-07  1.383423710E-05  7.502455368E-07  3.593252572E+02  2.125363836E-01  2.125285530E-01  1.824426499E-03 
       103  1.925000692E-05  6.250000329E-06  1.925000692E-05  6.250000329E-06  4.515697730E+01  7.018410985E-01  7.018410878E-01  1.229038589E-04 
       104  1.975000148E-05  6.750000165E-06  1.975000148E-05  6.750000165E-06  1.507921321E+01  6.565561708E-01  6.565561538E-01  1.493705754E-04 
       105  1.333643097E-05  2.499997668E-07  1.333643097E-05  2.499997668E-07  3.855072751E+02  7.648056762E-02  7.647973689E-02  3.564665724E-04 
       106  1.627515359E-05  3.749839314E-06  1.627515359E-05  3.749839314E-06  2.241414431E+02  7.017051181E-01  7.017043081E-01  1.066160906E-03 
       107  1.578727571E-05  3.249986469E-06  1.578727571E-05  3.249986469E-06  2.531660419E+02  6.571314636E-01  6.571279250E-01  2.156524786E-03 
