cellnumber     x-coordinate     y-coordinate     x-coordinate     y-coordinate         pressure velocity-magnitude       x-velocity       y-velocity 
         1  1.975493824E-05  2.500967177E-07  1.975493824E-05  2.500967177E-07  8.876637100E+00  4.469084212E-02  4.469083162E-02 -3.063196635E-05 
         2  1.975438741E-05  7.501299845E-07  1.975438741E-05  7.501299845E-07  8.820144114E+00  1.251979755E-01  1.251979709E-01 -3.398289612E-05 
         3  1.926451242E-05  2.494420745E-07  1.926451242E-05  2.494420745E-07  2.650259526E+01  4.470104979E-02  4.470104349E-02 -2.373517670E-05 
         4  1.926365578E-05  7.504980290E-07  1.926365578E-05  7.504980290E-07  2.646661459E+01  1.254367856E-01  1.254367824E-01 -2.869090515E-05 
         5  1.975303690E-05  1.250341656E-06  1.975303690E-05  1.250341656E-06  8.844399732E+00  1.968550393E-01  1.968550299E-01 -6.071258948E-05 
         6  1.877205648E-05  2.499997719E-07  1.877205648E-05  2.499997719E-07  4.389366693E+01  4.471441900E-02  4.471441616E-02 -1.593560209E-05 
         7  1.877163527E-05  7.499518084E-07  1.877163527E-05  7.499518084E-07  4.388357348E+01  1.252409382E-01  1.252409362E-01 -2.224840238E-05 
         8  1.925906872E-05  1.250281009E-06  1.925906872E-05  1.250281009E-06  2.665497111E+01  1.970354696E-01  1.970354585E-01 -6.602225282E-05 
         9  1.975151880E-05  1.750169783E-06  1.975151880E-05  1.750169783E-06  8.942705157E+00  2.595127186E-01  2.595127059E-01 -8.137100667E-05 
        10  1.827790871E-05  2.499997719E-07  1.827790871E-05  2.499997719E-07  6.154455836E+01  4.471305296E-02  4.471304776E-02 -2.156654608E-05 
        11  1.876468006E-05  1.250369461E-06  1.876468006E-05  1.250369461E-06  4.415088488E+01  1.969265666E-01  1.969265556E-01 -6.587766158E-05 
        12  1.827831150E-05  7.495906941E-07  1.827831150E-05  7.495906941E-07  6.150694064E+01  1.251771245E-01  1.251771223E-01 -2.358564894E-05 
        13  1.925462334E-05  1.750477397E-06  1.925462334E-05  1.750477397E-06  2.683719662E+01  2.597426092E-01  2.597425957E-01 -8.360493767E-05 
        14  1.975075949E-05  2.250084633E-06  1.975075949E-05  2.250084633E-06  9.004318805E+00  3.132622528E-01  3.132622411E-01 -8.568999534E-05 
        15  1.778376094E-05  2.499997719E-07  1.778376094E-05  2.499997719E-07  7.910553017E+01  4.468747347E-02  4.468746885E-02 -2.032484515E-05 
        16  1.827213997E-05  1.249485943E-06  1.827213997E-05  1.249485943E-06  6.176967412E+01  1.967996139E-01  1.967996026E-01 -6.668569800E-05 
        17  1.875837989E-05  1.750146761E-06  1.875837989E-05  1.750146761E-06  4.439040352E+01  2.596037859E-01  2.596037716E-01 -8.615100061E-05 
        18  1.778563376E-05  7.494634556E-07  1.778563376E-05  7.494634556E-07  7.903026115E+01  1.251163355E-01  1.251163325E-01 -2.710162217E-05 
        19  1.925177208E-05  2.250084427E-06  1.925177208E-05  2.250084427E-06  2.697164353E+01  3.134622183E-01  3.134622049E-01 -9.164346817E-05 
        20  1.975037976E-05  2.750042252E-06  1.975037976E-05  2.750042252E-06  9.028867912E+00  3.580826827E-01  3.580826742E-01 -7.799922514E-05 
        21  1.728961317E-05  2.499997719E-07  1.728961317E-05  2.499997719E-07  9.665029057E+01  4.467090603E-02  4.467090207E-02 -1.880470261E-05 
        22  1.826514373E-05  1.750811663E-06  1.826514373E-05  1.750811663E-06  6.204280213E+01  2.596835598E-01  2.596835468E-01 -8.226123675E-05 
        23  1.778254693E-05  1.249507897E-06  1.778254693E-05  1.249507897E-06  7.917027980E+01  1.967630021E-01  1.967629915E-01 -6.456433726E-05 
        24  1.875382288E-05  2.250627538E-06  1.875382288E-05  2.250627538E-06  4.458536482E+01  3.134343322E-01  3.134343182E-01 -9.342229503E-05 
        25  1.729327008E-05  7.497520804E-07  1.729327008E-05  7.497520804E-07  9.653561840E+01  1.251428293E-01  1.251428264E-01 -2.684247767E-05 
        26  1.925082289E-05  2.749978872E-06  1.925082289E-05  2.749978872E-06  2.703193623E+01  3.582897650E-01  3.582897550E-01 -8.469507201E-05 
        27  1.975018989E-05  3.250021110E-06  1.975018989E-05  3.250021110E-06  9.037686310E+00  3.939600628E-01  3.939600575E-01 -6.504646773E-05 
        28  1.679546540E-05  2.499997719E-07  1.679546540E-05  2.499997719E-07  1.141085201E+02  4.465037653E-02  4.465037246E-02 -1.908408002E-05 
        29  1.777570279E-05  1.749420393E-06  1.777570279E-05  1.749420393E-06  7.948702021E+01  2.595046562E-01  2.595046468E-01 -6.999695759E-05 
        30  1.825813064E-05  2.250132258E-06  1.825813064E-05  2.250132258E-06  6.236604379E+01  3.133994619E-01  3.133994503E-01 -8.554946755E-05 
