cellnumber     x-coordinate     y-coordinate     x-coordinate     y-coordinate         pressure velocity-magnitude       x-velocity       y-velocity 
         1  1.975493824E-05  2.500967177E-07  1.975493824E-05  2.500967177E-07  2.368976665E+00  1.192173493E-02  1.192173219E-02 -8.075553376E-06 
         2  1.975438741E-05  7.501299845E-07  1.975438741E-05  7.501299845E-07  2.354601205E+00  3.339508726E-02  3.339508646E-02 -7.332316523E-06 
         3  1.926451242E-05  2.494420745E-07  1.926451242E-05  2.494420745E-07  7.079961465E+00  1.192577503E-02  1.192577337E-02 -6.304275285E-06 
         4  1.926365578E-05  7.504980290E-07  1.926365578E-05  7.504980290E-07  7.071428409E+00  3.346145710E-02  3.346145662E-02 -5.681944179E-06 
         5  1.975303690E-05  1.250341656E-06  1.975303690E-05  1.250341656E-06  2.360984529E+00  5.250483425E-02  5.250483273E-02 -1.260839635E-05 
         6  1.877205648E-05  2.499997719E-07  1.877205648E-05  2.499997719E-07  1.172800829E+01  1.193024757E-02  1.193024694E-02 -3.861190812E-06 
         7  1.877163527E-05  7.499518084E-07  1.877163527E-05  7.499518084E-07  1.172450033E+01  3.341127571E-02  3.341127553E-02 -3.449682374E-06 
         8  1.925906872E-05  1.250281009E-06  1.925906872E-05  1.250281009E-06  7.121345589E+00  5.255639857E-02  5.255639682E-02 -1.358194456E-05 
         9  1.975151880E-05  1.750169783E-06  1.975151880E-05  1.750169783E-06  2.387774597E+00  6.921166942E-02  6.921166737E-02 -1.688053539E-05 
        10  1.827790871E-05  2.499997719E-07  1.827790871E-05  2.499997719E-07  1.644543845E+01  1.193110307E-02  1.193110181E-02 -5.480230303E-06 
        11  1.876468006E-05  1.250369461E-06  1.876468006E-05  1.250369461E-06  1.179719319E+01  5.252950674E-02  5.252950519E-02 -1.278120451E-05 
        12  1.827831150E-05  7.495906941E-07  1.827831150E-05  7.495906941E-07  1.643598020E+01  3.339690707E-02  3.339690692E-02 -3.244232576E-06 
        13  1.925462334E-05  1.750477397E-06  1.925462334E-05  1.750477397E-06  7.171132016E+00  6.927627467E-02  6.927627270E-02 -1.650389533E-05 
        14  1.975075949E-05  2.250084633E-06  1.975075949E-05  2.250084633E-06  2.405046456E+00  8.354074460E-02  8.354074287E-02 -1.699927967E-05 
        15  1.778376094E-05  2.499997719E-07  1.778376094E-05  2.499997719E-07  2.114243421E+01  1.192590268E-02  1.192590155E-02 -5.206008604E-06 
        16  1.827213997E-05  1.249485943E-06  1.827213997E-05  1.249485943E-06  1.650421553E+01  5.249841500E-02  5.249841361E-02 -1.209249046E-05 
        17  1.875837989E-05  1.750146761E-06  1.875837989E-05  1.750146761E-06  1.186017572E+01  6.924091827E-02  6.924091644E-02 -1.591152214E-05 
        18  1.778563376E-05  7.494634556E-07  1.778563376E-05  7.494634556E-07  2.112311520E+01  3.338350581E-02  3.338350556E-02 -4.100297366E-06 
        19  1.925177208E-05  2.250084427E-06  1.925177208E-05  2.250084427E-06  7.205847329E+00  8.359674245E-02  8.359674069E-02 -1.711451063E-05 
        20  1.975037976E-05  2.750042252E-06  1.975037976E-05  2.750042252E-06  2.412347247E+00  9.548747189E-02  9.548747077E-02 -1.465198380E-05 
        21  1.728961317E-05  2.499997719E-07  1.728961317E-05  2.499997719E-07  2.584061864E+01  1.192333101E-02  1.192333009E-02 -4.685350415E-06 
        22  1.826514373E-05  1.750811663E-06  1.826514373E-05  1.750811663E-06  1.657561326E+01  6.926404447E-02  6.926404305E-02 -1.401242814E-05 
        23  1.778254693E-05  1.249507897E-06  1.778254693E-05  1.249507897E-06  2.115839452E+01  5.249121436E-02  5.249121316E-02 -1.120800168E-05 
        24  1.875382288E-05  2.250627538E-06  1.875382288E-05  2.250627538E-06  1.190980012E+01  8.358978353E-02  8.358978198E-02 -1.610084224E-05 
        25  1.729327008E-05  7.497520804E-07  1.729327008E-05  7.497520804E-07  2.580908353E+01  3.339326104E-02  3.339326079E-02 -4.079551607E-06 
        26  1.925082289E-05  2.749978872E-06  1.925082289E-05  2.749978872E-06  7.220183662E+00  9.554437697E-02  9.554437581E-02 -1.485911645E-05 
        27  1.975018989E-05  3.250021110E-06  1.975018989E-05  3.250021110E-06  2.415542932E+00  1.050493937E-01  1.050493930E-01 -1.208055476E-05 
        28  1.679546540E-05  2.499997719E-07  1.679546540E-05  2.499997719E-07  3.052272786E+01  1.191945650E-02  1.191945566E-02 -4.490490753E-06 
        29  1.777570279E-05  1.749420393E-06  1.777570279E-05  1.749420393E-06  2.123720253E+01  6.921784168E-02  6.921784084E-02 -1.080494759E-05 
        30  1.825813064E-05  2.250132258E-06  1.825813064E-05  2.250132258E-06  1.665559797E+01  8.358108358E-02  8.358108249E-02 -1.351623217E-05 
        31  1.729290643E-05  1.249439978E-06  1.729290643E-05  1.249439978E-06  2.582494055E+01  5.249042677E-02  5.249042614E-02 -8.112876111E-06 
        32  1.875113923E-05  2.750084441E-06  1.875113923E-05  2.750084441E-06  1.194435601E+01  9.552659766E-02  9.552659652E-02 -1.479041986E-05 
        33  1.679912376E-05  7.502455461E-07  1.679912376E-05  7.502455461E-07  3.049711866E+01  3.340922251E-02  3.340922250E-02 -9.266883046E-07 
        34  1.925044307E-05  3.250021092E-06  1.925044307E-05  3.250021092E-06  7.226214524E+00  1.051087755E-01  1.051087749E-01 -1.178675030E-05 
        35  1.975009495E-05  3.750010551E-06  1.975009495E-05  3.750010551E-06  2.418643797E+00  1.122236090E-01  1.122236088E-01 -7.577170764E-06 
        36  1.630131762E-05  2.499997719E-07  1.630131762E-05  2.499997719E-07  3.518726666E+01  1.191830838E-02  1.191830783E-02 -3.605400592E-06 
        37  1.776730139E-05  2.250388342E-06  1.776730139E-05  2.250388342E-06  2.133664376E+01  8.358910806E-02  8.358910761E-02 -8.711197835E-06 
        38  1.728793909E-05  1.750060194E-06  1.728793909E-05  1.750060194E-06  2.589032094E+01  6.924121668E-02  6.924121658E-02 -3.675877198E-06 
        39  1.825377328E-05  2.750195721E-06  1.825377328E-05  2.750195721E-06  1.670865952E+01  9.553670710E-02  9.553670639E-02 -1.162351223E-05 
