cellnumber     x-coordinate     y-coordinate     x-coordinate     y-coordinate         pressure velocity-magnitude       x-velocity       y-velocity 
         1  1.975493824E-05  2.500967177E-07  1.975493824E-05  2.500967177E-07  2.961643609E-01  1.490325267E-03  1.490324937E-03 -9.911402066E-07 
         2  1.975438741E-05  7.501299845E-07  1.975438741E-05  7.501299845E-07  2.943238124E-01  4.174612798E-03  4.174612717E-03 -8.248527515E-07 
         3  1.926451242E-05  2.494420745E-07  1.926451242E-05  2.494420745E-07  8.854035847E-01  1.490882041E-03  1.490881829E-03 -7.967825850E-07 
         4  1.926365578E-05  7.504980290E-07  1.926365578E-05  7.504980290E-07  8.844045879E-01  4.183036771E-03  4.183036726E-03 -6.170288503E-07 
         5  1.975303690E-05  1.250341656E-06  1.975303690E-05  1.250341656E-06  2.951414537E-01  6.563371907E-03  6.563371751E-03 -1.427466786E-06 
         6  1.877205648E-05  2.499997719E-07  1.877205648E-05  2.499997719E-07  1.466689854E+00  1.491474986E-03  1.491474901E-03 -5.025127619E-07 
         7  1.877163527E-05  7.499518084E-07  1.877163527E-05  7.499518084E-07  1.466429945E+00  4.176829870E-03  4.176829858E-03 -3.142404157E-07 
         8  1.925906872E-05  1.250281009E-06  1.925906872E-05  1.250281009E-06  8.905709032E-01  6.569962314E-03  6.569962140E-03 -1.513738218E-06 
         9  1.975151880E-05  1.750169783E-06  1.975151880E-05  1.750169783E-06  2.985742154E-01  8.651711094E-03  8.651710887E-03 -1.893010209E-06 
        10  1.827790871E-05  2.499997719E-07  1.827790871E-05  2.499997719E-07  2.056719869E+00  1.491638871E-03  1.491638716E-03 -6.819354140E-07 
        11  1.876468006E-05  1.250369461E-06  1.876468006E-05  1.250369461E-06  1.475311415E+00  6.566685291E-03  6.566685151E-03 -1.355680641E-06 
        12  1.827831150E-05  7.495906941E-07  1.827831150E-05  7.495906941E-07  2.055581366E+00  4.175140399E-03  4.175140391E-03 -2.581267490E-07 
        13  1.925462334E-05  1.750477397E-06  1.925462334E-05  1.750477397E-06  8.969319275E-01  8.659922733E-03  8.659922547E-03 -1.795827454E-06 
        14  1.975075949E-05  2.250084633E-06  1.975075949E-05  2.250084633E-06  3.007364332E-01  1.044276977E-02  1.044276961E-02 -1.857677383E-06 
        15  1.778376094E-05  2.499997719E-07  1.778376094E-05  2.499997719E-07  2.644335801E+00  1.491062430E-03  1.491062300E-03 -6.225241865E-07 
        16  1.827213997E-05  1.249485943E-06  1.827213997E-05  1.249485943E-06  2.064011777E+00  6.562941123E-03  6.562941010E-03 -1.219006636E-06 
        17  1.875837989E-05  1.750146761E-06  1.875837989E-05  1.750146761E-06  1.483345088E+00  8.655557475E-03  8.655557318E-03 -1.650763038E-06 
        18  1.778563376E-05  7.494634556E-07  1.778563376E-05  7.494634556E-07  2.641821062E+00  4.173616983E-03  4.173616969E-03 -3.501160641E-07 
        19  1.925177208E-05  2.250084427E-06  1.925177208E-05  2.250084427E-06  9.012039858E-01  1.044987649E-02  1.044987634E-02 -1.782768989E-06 
        20  1.975037976E-05  2.750042252E-06  1.975037976E-05  2.750042252E-06  3.017192672E-01  1.193601431E-02  1.193601421E-02 -1.575947136E-06 
        21  1.728961317E-05  2.499997719E-07  1.728961317E-05  2.499997719E-07  3.232248394E+00  1.490825046E-03  1.490824945E-03 -5.478351532E-07 
        22  1.826514373E-05  1.750811663E-06  1.826514373E-05  1.750811663E-06  2.072944423E+00  8.658545654E-03  8.658545550E-03 -1.339959403E-06 
        23  1.778254693E-05  1.249507897E-06  1.778254693E-05  1.249507897E-06  2.646346951E+00  6.562190885E-03  6.562190797E-03 -1.074760572E-06 
        24  1.875382288E-05  2.250627538E-06  1.875382288E-05  2.250627538E-06  1.489376827E+00  1.044902115E-02  1.044902103E-02 -1.559071446E-06 
        25  1.729327008E-05  7.497520804E-07  1.729327008E-05  7.497520804E-07  3.228173811E+00  4.175004244E-03  4.175004231E-03 -3.194218027E-07 
        26  1.925082289E-05  2.749978872E-06  1.925082289E-05  2.749978872E-06  9.029098051E-01  1.194318417E-02  1.194318407E-02 -1.492722602E-06 
        27  1.975018989E-05  3.250021110E-06  1.975018989E-05  3.250021110E-06  3.022074343E-01  1.313116298E-02  1.313116292E-02 -1.290410602E-06 
        28  1.679546540E-05  2.499997719E-07  1.679546540E-05  2.499997719E-07  3.818388123E+00  1.490432668E-03  1.490432578E-03 -5.176880350E-07 
        29  1.777570279E-05  1.749420393E-06  1.777570279E-05  1.749420393E-06  2.655929469E+00  8.652897919E-03  8.652897874E-03 -8.787844870E-07 
        30  1.825813064E-05  2.250132258E-06  1.825813064E-05  2.250132258E-06  2.082732370E+00  1.044797962E-02  1.044797955E-02 -1.182165735E-06 
        31  1.729290643E-05  1.249439978E-06  1.729290643E-05  1.249439978E-06  3.230146140E+00  6.562243333E-03  6.562243298E-03 -6.798310195E-07 
        32  1.875113923E-05  2.750084441E-06  1.875113923E-05  2.750084441E-06  1.493491399E+00  1.194092460E-02  1.194092452E-02 -1.387202804E-06 
        33  1.679912376E-05  7.502455461E-07  1.679912376E-05  7.502455461E-07  3.814977742E+00  4.177157640E-03  4.177157639E-03  8.007990244E-08 
        34  1.925044307E-05  3.250021092E-06  1.925044307E-05  3.250021092E-06  9.036103368E-01  1.313858783E-02  1.313858778E-02 -1.160803147E-06 
        35  1.975009495E-05  3.750010551E-06  1.975009495E-05  3.750010551E-06  3.026241676E-01  1.402784971E-02  1.402784968E-02 -7.807376844E-07 
        36  1.630131762E-05  2.499997719E-07  1.630131762E-05  2.499997719E-07  4.402558824E+00  1.490383064E-03  1.490383006E-03 -4.172532718E-07 
        37  1.776730139E-05  2.250388342E-06  1.776730139E-05  2.250388342E-06  2.668108957E+00  1.044902939E-02  1.044902938E-02 -5.600606109E-07 
        38  1.728793909E-05  1.750060194E-06  1.728793909E-05  1.750060194E-06  3.238039432E+00  8.655911739E-03  8.655911739E-03  2.198499940E-09 
        39  1.825377328E-05  2.750195721E-06  1.825377328E-05  2.750195721E-06  2.089117719E+00  1.194216755E-02  1.194216752E-02 -9.399514617E-07 
        40  1.680095024E-05  1.249629995E-06  1.680095024E-05  1.249629995E-06  3.815350176E+00  6.563411541E-03  6.563411540E-03  1.286563965E-07 
        41  1.875056970E-05  3.249978879E-06  1.875056970E-05  3.249978879E-06  1.494610526E+00  1.313596039E-02  1.313596036E-02 -9.228437780E-07 
        42  1.630497454E-05  7.497520802E-07  1.630497454E-05  7.497520802E-07  4.399971102E+00  4.175536126E-03  4.175536055E-03  7.738518078E-07 
        43  1.925020572E-05  3.749994719E-06  1.925020572E-05  3.749994719E-06  9.043312982E-01  1.403528911E-02  1.403528909E-02 -6.227626465E-07 
        44  1.975004747E-05  4.250005274E-06  1.975004747E-05  4.250005274E-06  3.013818721E-01  1.462558426E-02  1.462558423E-02 -9.693310671E-07 
        45  1.580716985E-05  2.499997718E-07  1.580716985E-05  2.499997718E-07  4.983989856E+00  1.490553453E-03  1.490553440E-03 -1.927594742E-07 
        46  1.727865516E-05  2.249963378E-06  1.727865516E-05  2.249963378E-06  3.252465479E+00  1.044831615E-02  1.044831611E-02  8.663622561E-07 
        47  1.776053789E-05  2.750291166E-06  1.776053789E-05  2.750291166E-06  2.678025036E+00  1.194256766E-02  1.194256766E-02 -6.821996192E-09 
        48  1.679748995E-05  1.749895412E-06  1.679748995E-05  1.749895412E-06  3.822708186E+00  8.656424815E-03  8.656424574E-03  2.043113382E-06 
