cellnumber     x-coordinate     y-coordinate     x-coordinate     y-coordinate         pressure velocity-magnitude       x-velocity       y-velocity 
         1  1.975493824E-05  2.500967177E-07  1.975493824E-05  2.500967177E-07  5.920035393E+00  2.979942036E-02  2.979941330E-02 -2.051558623E-05 
         2  1.975438741E-05  7.501299845E-07  1.975438741E-05  7.501299845E-07  5.883678522E+00  8.347738399E-02  8.347738135E-02 -2.099999841E-05 
         3  1.926451242E-05  2.494420745E-07  1.926451242E-05  2.494420745E-07  1.768344287E+01  2.980775029E-02  2.980774608E-02 -1.583484602E-05 
         4  1.926365578E-05  7.504980290E-07  1.926365578E-05  7.504980290E-07  1.766042399E+01  8.363951679E-02  8.363951504E-02 -1.713116629E-05 
         5  1.975303690E-05  1.250341656E-06  1.975303690E-05  1.250341656E-06  5.899413582E+00  1.312504851E-01  1.312504799E-01 -3.682212519E-05 
         6  1.877205648E-05  2.499997719E-07  1.877205648E-05  2.499997719E-07  2.929033075E+01  2.981756841E-02  2.981756667E-02 -1.017596210E-05 
         7  1.877163527E-05  7.499518084E-07  1.877163527E-05  7.499518084E-07  2.928208185E+01  8.351107128E-02  8.351107038E-02 -1.230742958E-05 
         8  1.925906872E-05  1.250281009E-06  1.925906872E-05  1.250281009E-06  1.778569002E+01  1.313745031E-01  1.313744970E-01 -3.996516831E-05 
         9  1.975151880E-05  1.750169783E-06  1.975151880E-05  1.750169783E-06  5.965827292E+00  1.730198614E-01  1.730198544E-01 -4.933272189E-05 
        10  1.827790871E-05  2.499997719E-07  1.827790871E-05  2.499997719E-07  4.107029123E+01  2.981803905E-02  2.981803565E-02 -1.422646990E-05 
        11  1.876468006E-05  1.250369461E-06  1.876468006E-05  1.250369461E-06  2.946200418E+01  1.313040111E-01  1.313040053E-01 -3.919310108E-05 
        12  1.827831150E-05  7.495906941E-07  1.827831150E-05  7.495906941E-07  4.104648537E+01  8.347124583E-02  8.347124485E-02 -1.279606291E-05 
        13  1.925462334E-05  1.750477397E-06  1.925462334E-05  1.750477397E-06  1.790859954E+01  1.731765569E-01  1.731765497E-01 -4.984141845E-05 
        14  1.975075949E-05  2.250084633E-06  1.975075949E-05  2.250084633E-06  6.007439051E+00  2.088472101E-01  2.088472038E-01 -5.120641165E-05 
        15  1.778376094E-05  2.499997719E-07  1.778376094E-05  2.499997719E-07  5.279583337E+01  2.980266490E-02  2.980266193E-02 -1.329478203E-05 
        16  1.827213997E-05  1.249485943E-06  1.827213997E-05  1.249485943E-06  4.121907646E+01  1.312220191E-01  1.312220133E-01 -3.896863030E-05 
        17  1.875837989E-05  1.750146761E-06  1.875837989E-05  1.750146761E-06  2.962033408E+01  1.730856218E-01  1.730856144E-01 -5.043256719E-05 
        18  1.778563376E-05  7.494634556E-07  1.778563376E-05  7.494634556E-07  5.274547858E+01  8.343339225E-02  8.343339088E-02 -1.511557330E-05 
        19  1.925177208E-05  2.250084427E-06  1.925177208E-05  2.250084427E-06  1.799623600E+01  2.089833900E-01  2.089833831E-01 -5.380265574E-05 
        20  1.975037976E-05  2.750042252E-06  1.975037976E-05  2.750042252E-06  6.024682707E+00  2.387201009E-01  2.387200965E-01 -4.584947294E-05 
        21  1.728961317E-05  2.499997719E-07  1.728961317E-05  2.499997719E-07  6.451600899E+01  2.979339474E-02  2.979339220E-02 -1.229303447E-05 
        22  1.826514373E-05  1.750811663E-06  1.826514373E-05  1.750811663E-06  4.139877971E+01  1.731403175E-01  1.731403110E-01 -4.737879974E-05 
        23  1.778254693E-05  1.249507897E-06  1.778254693E-05  1.249507897E-06  5.283624898E+01  1.311997573E-01  1.311997519E-01 -3.775065927E-05 
        24  1.875382288E-05  2.250627538E-06  1.875382288E-05  2.250627538E-06  2.974702297E+01  2.089650616E-01  2.089650547E-01 -5.384665973E-05 
        25  1.729327008E-05  7.497520804E-07  1.729327008E-05  7.497520804E-07  6.443798596E+01  8.345339660E-02  8.345339519E-02 -1.531942555E-05 
        26  1.925082289E-05  2.749978872E-06  1.925082289E-05  2.749978872E-06  1.803498425E+01  2.388600852E-01  2.388600802E-01 -4.897196577E-05 
        27  1.975018989E-05  3.250021110E-06  1.975018989E-05  3.250021110E-06  6.031099411E+00  2.626307956E-01  2.626307929E-01 -3.806304865E-05 
        28  1.679546540E-05  2.499997719E-07  1.679546540E-05  2.499997719E-07  7.618612212E+01  2.978112152E-02  2.978111897E-02 -1.232555122E-05 
        29  1.777570279E-05  1.749420393E-06  1.777570279E-05  1.749420393E-06  5.304050386E+01  1.730219024E-01  1.730218978E-01 -4.010215974E-05 
        30  1.825813064E-05  2.250132258E-06  1.825813064E-05  2.250132258E-06  4.160659681E+01  2.089420558E-01  2.089420501E-01 -4.870208186E-05 
        31  1.729290643E-05  1.249439978E-06  1.729290643E-05  1.249439978E-06  6.448182727E+01  1.311939073E-01  1.311939040E-01 -2.941652980E-05 
        32  1.875113923E-05  2.750084441E-06  1.875113923E-05  2.750084441E-06  2.984218166E+01  2.388164920E-01  2.388164865E-01 -5.113264980E-05 
        33  1.679912376E-05  7.502455461E-07  1.679912376E-05  7.502455461E-07  7.612923583E+01  8.348937645E-02  8.348937614E-02 -7.223966406E-06 
        34  1.925044307E-05  3.250021092E-06  1.925044307E-05  3.250021092E-06  1.805307968E+01  2.627784489E-01  2.627784459E-01 -3.977700134E-05 
        35  1.975009495E-05  3.750010551E-06  1.975009495E-05  3.750010551E-06  6.037851800E+00  2.805711449E-01  2.805711439E-01 -2.430734212E-05 
        36  1.630131762E-05  2.499997719E-07  1.630131762E-05  2.499997719E-07  8.780595813E+01  2.977603376E-02  2.977603215E-02 -9.801488598E-06 
        37  1.776730139E-05  2.250388342E-06  1.776730139E-05  2.250388342E-06  5.330010447E+01  2.089613246E-01  2.089613214E-01 -3.616457320E-05 
        38  1.728793909E-05  1.750060194E-06  1.728793909E-05  1.750060194E-06  6.465624054E+01  1.730786029E-01  1.730786016E-01 -2.063621779E-05 
        39  1.825377328E-05  2.750195721E-06  1.825377328E-05  2.750195721E-06  4.174925744E+01  2.388424747E-01  2.388424707E-01 -4.386102942E-05 
        40  1.680095024E-05  1.249629995E-06  1.680095024E-05  1.249629995E-06  7.614542551E+01  1.312124431E-01  1.312124427E-01 -1.029074763E-05 
        41  1.875056970E-05  3.249978879E-06  1.875056970E-05  3.249978879E-06  2.987231036E+01  2.627311258E-01  2.627311230E-01 -3.862532499E-05 
        42  1.630497454E-05  7.497520802E-07  1.630497454E-05  7.497520802E-07  8.776676441E+01  8.345193703E-02  8.345193653E-02  9.097904678E-06 
        43  1.925020572E-05  3.749994719E-06  1.925020572E-05  3.749994719E-06  1.807115078E+01  2.807213785E-01  2.807213774E-01 -2.502653590E-05 
        44  1.975004747E-05  4.250005274E-06  1.975004747E-05  4.250005274E-06  6.013142770E+00  2.925311549E-01  2.925311542E-01 -2.112934003E-05 
        45  1.580716985E-05  2.499997718E-07  1.580716985E-05  2.499997718E-07  9.934982053E+01  2.977643114E-02  2.977643075E-02 -4.838425579E-06 
        46  1.727865516E-05  2.249963378E-06  1.727865516E-05  2.249963378E-06  6.497016578E+01  2.089475125E-01  2.089475124E-01 -3.658385639E-06 
        47  1.776053789E-05  2.750291166E-06  1.776053789E-05  2.750291166E-06  5.352028633E+01  2.388529751E-01  2.388529739E-01 -2.416995308E-05 
        48  1.679748995E-05  1.749895412E-06  1.679748995E-05  1.749895412E-06  7.631741554E+01  1.730881768E-01  1.730881748E-01  2.646776949E-05 
        49  1.825201340E-05  3.250139899E-06  1.825201340E-05  3.250139899E-06  4.182686955E+01  2.627637590E-01  2.627637571E-01 -3.092611538E-05 
        50  1.630680571E-05  1.250370188E-06  1.630680571E-05  1.250370188E-06  8.783216948E+01  1.313193097E-01  1.313193057E-01  3.238612681E-05 
        51  1.875028483E-05  3.750021096E-06  1.875028483E-05  3.750021096E-06  2.990137985E+01  2.806781063E-01  2.806781052E-01 -2.501088302E-05 
        52  1.581082821E-05  7.502455457E-07  1.581082821E-05  7.502455457E-07  9.933884158E+01  8.353267646E-02  8.353266642E-02  4.094530763E-05 
        53  1.925011077E-05  4.250005272E-06  1.925011077E-05  4.250005272E-06  1.804507184E+01  2.926899798E-01  2.926899793E-01 -1.769525559E-05 
        54  1.975002374E-05  4.750002637E-06  1.975002374E-05  4.750002637E-06  6.060481594E+00  2.985191994E-01  2.985191986E-01  2.235236014E-05 
        55  1.531302208E-05  2.499997716E-07  1.531302208E-05  2.499997716E-07  1.108124729E+02  2.979543260E-02  2.979543229E-02  4.275713133E-06 
        56  1.726959566E-05  2.750126961E-06  1.726959566E-05  2.750126961E-06  6.527771025E+01  2.388632360E-01  2.388632352E-01  1.878131264E-05 
        57  1.678807284E-05  2.249927470E-06  1.678807284E-05  2.249927470E-06  7.667888010E+01  2.089786556E-01  2.089786464E-01  6.199914864E-05 
        58  1.775627597E-05  3.250215053E-06  1.775627597E-05  3.250215053E-06  5.368462415E+01  2.627736709E-01  2.627736708E-01 -8.383433814E-06 
        59  1.630416037E-05  1.749824040E-06  1.630416037E-05  1.749824040E-06  8.803664846E+01  1.731388599E-01  1.731388260E-01  1.082820704E-04 
        60  1.825110962E-05  3.750067127E-06  1.825110962E-05  3.750067127E-06  4.188472489E+01  2.807054577E-01  2.807054572E-01 -1.626163174E-05 
        61  1.581265469E-05  1.249629994E-06  1.581265469E-05  1.249629994E-06  9.947623969E+01  1.313304760E-01  1.313304283E-01  1.119457784E-04 
        62  1.875014242E-05  4.249994721E-06  1.875014242E-05  4.249994721E-06  2.991434590E+01  2.926440953E-01  2.926440949E-01 -1.465193846E-05 
        63  1.531667900E-05  7.497520795E-07  1.531667900E-05  7.497520795E-07  1.108348522E+02  8.357687317E-02  8.357681654E-02  9.729595057E-05 
        64  1.925005143E-05  4.749998680E-06  1.925005143E-05  4.749998680E-06  1.807683008E+01  2.986702834E-01  2.986702830E-01  1.528748955E-05 
        65  1.975001187E-05  5.250001318E-06  1.975001187E-05  5.250001318E-06  6.061379012E+00  2.985144779E-01  2.985144776E-01 -1.223701340E-05 
        66  1.481887431E-05  2.499997713E-07  1.481887431E-05  2.499997713E-07  1.221651364E+02  2.984092885E-02  2.984092434E-02  1.640632580E-05 
        67  1.677883411E-05  2.750026271E-06  1.677883411E-05  2.750026271E-06  7.702639641E+01  2.388857156E-01  2.388856930E-01  1.038993697E-04 
        68  1.726293559E-05  3.250171023E-06  1.726293559E-05  3.250171023E-06  6.553479441E+01  2.627889458E-01  2.627889426E-01  4.081064947E-05 
        69  1.629611675E-05  2.249874605E-06  1.629611675E-05  2.249874605E-06  8.841975498E+01  2.090342476E-01  2.090341667E-01  1.838757159E-04 
        70  1.775369298E-05  3.750140770E-06  1.775369298E-05  3.750140770E-06  5.379953198E+01  2.807127165E-01  2.807127165E-01  4.354503042E-06 
        71  1.581041823E-05  1.750034920E-06  1.581041823E-05  1.750034920E-06  9.974395896E+01  1.732666089E-01  1.732664261E-01  2.516505968E-04 
        72  1.825058648E-05  4.250044085E-06  1.825058648E-05  4.250044085E-06  4.191116979E+01  2.926671553E-01  2.926671552E-01 -5.702431227E-06 
        73  1.531851017E-05  1.250370187E-06  1.531851017E-05  1.250370187E-06  1.110836072E+02  1.315600106E-01  1.315597791E-01  2.468000250E-04 
        74  1.875007121E-05  4.750005273E-06  1.875007121E-05  4.750005273E-06  2.997565396E+01  2.986215356E-01  2.986215356E-01  1.306253478E-06 
        75  1.482253267E-05  7.502455439E-07  1.482253267E-05  7.502455439E-07  1.222590697E+02  8.379552230E-02  8.379530655E-02  1.901516042E-04 
        76  1.925002769E-05  5.250001318E-06  1.925002769E-05  5.250001318E-06  1.807709098E+01  2.986649202E-01  2.986649202E-01 -3.098423328E-06 
        77  1.975000593E-05  5.750000659E-06  1.975000593E-05  5.750000659E-06  6.019525312E+00  2.925180568E-01  2.925180552E-01  2.972915342E-05 
        78  1.432472654E-05  2.499997706E-07  1.432472654E-05  2.499997706E-07  1.334107931E+02  2.993840532E-02  2.993838384E-02  3.586281031E-05 
        79  1.677088461E-05  3.250098376E-06  1.677088461E-05  3.250098376E-06  7.736121033E+01  2.628000134E-01  2.627999789E-01  1.345373603E-04 
        80  1.628747548E-05  2.749949380E-06  1.628747548E-05  2.749949380E-06  8.880576771E+01  2.389255552E-01  2.389254210E-01  2.531959691E-04 
        81  1.725831434E-05  3.750155799E-06  1.725831434E-05  3.750155799E-06  6.571990370E+01  2.807202385E-01  2.807202345E-01  4.735779011E-05 
        82  1.580326734E-05  2.249954146E-06  1.580326734E-05  2.249954146E-06  1.001840476E+02  2.091475325E-01  2.091471675E-01  3.907400858E-04 
        83  1.775213981E-05  4.250092291E-06  1.775213981E-05  4.250092291E-06  5.387891884E+01  2.926720869E-01  2.926720866E-01  1.314019747E-05 
        84  1.531647665E-05  1.749893829E-06  1.531647665E-05  1.749893829E-06  1.114482202E+02  1.734482875E-01  1.734475952E-01  4.900563234E-04 
        85  1.825031896E-05  4.750021365E-06  1.825031896E-05  4.750021365E-06  4.193364344E+01  2.986378081E-01  2.986378079E-01  1.113337031E-05 
        86  1.482435914E-05  1.249629993E-06  1.482435914E-05  1.249629993E-06  1.226583857E+02  1.317754326E-01  1.317746059E-01  4.667645269E-04 
        87  1.875003561E-05  5.249998680E-06  1.875003561E-05  5.249998680E-06  2.997609293E+01  2.986156728E-01  2.986156724E-01  1.494803754E-05 
        88  1.432838344E-05  7.497520765E-07  1.432838344E-05  7.497520765E-07  1.336027433E+02  8.406140318E-02  8.406072257E-02  3.382669419E-04 
        89  1.925001286E-05  5.749999670E-06  1.925001286E-05  5.749999670E-06  1.805290701E+01  2.926745395E-01  2.926745381E-01  2.883357878E-05 
        90  1.975000297E-05  6.250000330E-06  1.975000297E-05  6.250000330E-06  6.046559915E+00  2.805492128E-01  2.805492110E-01  3.153760270E-05 
        91  1.383057876E-05  2.499997694E-07  1.383057876E-05  2.499997694E-07  1.445605566E+02  3.011183748E-02  3.011176379E-02  6.662006075E-05 
        92  1.627917995E-05  3.250023269E-06  1.627917995E-05  3.250023269E-06  8.920791103E+01  2.628065527E-01  2.628063862E-01  2.957465653E-04 
        93  1.676597055E-05  3.749631727E-06  1.676597055E-05  3.749631727E-06  7.757917561E+01  2.806995642E-01  2.806995363E-01  1.252026988E-04 
        94  1.579537144E-05  2.749951022E-06  1.579537144E-05  2.749951022E-06  1.006236705E+02  2.389937799E-01  2.389932509E-01  5.028528843E-04 
        95  1.725522716E-05  4.250123928E-06  1.725522716E-05  4.250123928E-06  6.586882960E+01  2.926693019E-01  2.926692977E-01  4.980311711E-05 
        96  1.530987203E-05  2.249923497E-06  1.530987203E-05  2.249923497E-06  1.119794966E+02  2.093205153E-01  2.093192511E-01  7.275038181E-04 
        97  1.775122942E-05  4.750056764E-06  1.775122942E-05  4.750056764E-06  5.391535135E+01  2.986419342E-01  2.986419338E-01  1.452538055E-05 
        98  1.482242888E-05  1.750069966E-06  1.482242888E-05  1.750069966E-06  1.231594858E+02  1.737944849E-01  1.737923031E-01  8.708475007E-04 
        99  1.825016739E-05  5.250013316E-06  1.825016739E-05  5.250013316E-06  4.193867742E+01  2.986303881E-01  2.986303879E-01  1.110093427E-05 
       100  1.433021461E-05  1.250370182E-06  1.433021461E-05  1.250370182E-06  1.342218465E+02  1.323245167E-01  1.323220249E-01  8.120648300E-04 
       101  1.875001780E-05  5.750001318E-06  1.875001780E-05  5.750001318E-06  2.992061687E+01  2.926275440E-01  2.926275425E-01  2.978107892E-05 
       102  1.383423710E-05  7.502455368E-07  1.383423710E-05  7.502455368E-07  1.448874869E+02  8.462667379E-02  8.462476078E-02  5.690170223E-04 
       103  1.925000692E-05  6.250000329E-06  1.925000692E-05  6.250000329E-06  1.808161058E+01  2.806967430E-01  2.806967409E-01  3.426986575E-05 
       104  1.975000148E-05  6.750000165E-06  1.975000148E-05  6.750000165E-06  6.046738778E+00  2.626006855E-01  2.626006820E-01  4.278110700E-05 
       105  1.333643097E-05  2.499997668E-07  1.333643097E-05  2.499997668E-07  1.556506776E+02  3.040958468E-02  3.040937108E-02  1.139792498E-04 
       106  1.627515359E-05  3.749839314E-06  1.627515359E-05  3.749839314E-06  8.943905646E+01  2.806721645E-01  2.806720445E-01  2.595416468E-04 
       107  1.578727571E-05  3.249986469E-06  1.578727571E-05  3.249986469E-06  1.010953226E+02  2.628062161E-01  2.628056257E-01  5.570655210E-04 
       108  1.676243778E-05  4.250375145E-06  1.676243778E-05  4.250375145E-06  7.778098662E+01  2.926529781E-01  2.926529568E-01  1.116366608E-04 
       109  1.530262176E-05  2.749936672E-06  1.530262176E-05  2.749936672E-06  1.124955023E+02  2.390934834E-01  2.390917731E-01  9.043479149E-04 
       110  1.725322835E-05  4.750090257E-06  1.725322835E-05  4.750090257E-06  6.591383558E+01  2.986309684E-01  2.986309673E-01  2.527405919E-05 
       111  1.481615040E-05  2.249996334E-06  1.481615040E-05  2.249996334E-06  1.238212161E+02  2.096119066E-01  2.096081382E-01  1.256891973E-03 
       112  1.775069842E-05  5.250035016E-06  1.775069842E-05  5.250035016E-06  5.392553832E+01  2.986317637E-01  2.986317634E-01  1.313183022E-05 
       113  1.432833412E-05  1.749911350E-06  1.432833412E-05  1.749911350E-06  1.349074408E+02  1.743121439E-01  1.743060402E-01  1.458718584E-03 
