cellnumber     x-coordinate     y-coordinate     x-coordinate     y-coordinate         pressure velocity-magnitude       x-velocity       y-velocity 
         1  1.975493824E-05  2.500967177E-07  1.975493824E-05  2.500967177E-07  5.923199902E-01  2.980632829E-03  2.980632165E-03 -1.989121923E-06 
         2  1.975438741E-05  7.501299845E-07  1.975438741E-05  7.501299845E-07  5.886603446E-01  8.349197019E-03  8.349196849E-03 -1.680982680E-06 
         3  1.926451242E-05  2.494420745E-07  1.926451242E-05  2.494420745E-07  1.770684187E+00  2.981730468E-03  2.981730045E-03 -1.589419119E-06 
         4  1.926365578E-05  7.504980290E-07  1.926365578E-05  7.504980290E-07  1.768667439E+00  8.366003830E-03  8.366003734E-03 -1.264473981E-06 
         5  1.975303690E-05  1.250341656E-06  1.975303690E-05  1.250341656E-06  5.902916721E-01  1.312671246E-02  1.312671214E-02 -2.901978855E-06 
         6  1.877205648E-05  2.499997719E-07  1.877205648E-05  2.499997719E-07  2.933181717E+00  2.982906249E-03  2.982906082E-03 -9.962802834E-07 
         7  1.877163527E-05  7.499518084E-07  1.877163527E-05  7.499518084E-07  2.932604847E+00  8.353568119E-03  8.353568093E-03 -6.642268985E-07 
         8  1.925906872E-05  1.250281009E-06  1.925906872E-05  1.250281009E-06  1.781034706E+00  1.313984753E-02  1.313984717E-02 -3.088023239E-06 
         9  1.975151880E-05  1.750169783E-06  1.975151880E-05  1.750169783E-06  5.971162873E-01  1.730338665E-02  1.730338622E-02 -3.859104799E-06 
        10  1.827790871E-05  2.499997719E-07  1.827790871E-05  2.499997719E-07  4.113160948E+00  2.983216557E-03  2.983216244E-03 -1.365567940E-06 
        11  1.876468006E-05  1.250369461E-06  1.876468006E-05  1.250369461E-06  2.950443033E+00  1.313325985E-02  1.313325955E-02 -2.791103638E-06 
        12  1.827831150E-05  7.495906941E-07  1.827831150E-05  7.495906941E-07  4.110888329E+00  8.350156740E-03  8.350156722E-03 -5.556027629E-07 
        13  1.925462334E-05  1.750477397E-06  1.925462334E-05  1.750477397E-06  1.793702225E+00  1.731976938E-02  1.731976899E-02 -3.681311735E-06 
        14  1.975075949E-05  2.250084633E-06  1.975075949E-05  2.250084633E-06  6.014552430E-01  2.088550968E-02  2.088550933E-02 -3.804989893E-06 
        15  1.778376094E-05  2.499997719E-07  1.778376094E-05  2.499997719E-07  5.288253662E+00  2.982040428E-03  2.982040163E-03 -1.255667711E-06 
        16  1.827213997E-05  1.249485943E-06  1.827213997E-05  1.249485943E-06  4.127717502E+00  1.312572824E-02  1.312572800E-02 -2.531845568E-06 
        17  1.875837989E-05  1.750146761E-06  1.875837989E-05  1.750146761E-06  2.966457591E+00  1.731101721E-02  1.731101687E-02 -3.413569753E-06 
        18  1.778563376E-05  7.494634556E-07  1.778563376E-05  7.494634556E-07  5.283270710E+00  8.347057585E-03  8.347057551E-03 -7.512620194E-07 
        19  1.925177208E-05  2.250084427E-06  1.925177208E-05  2.250084427E-06  1.802278555E+00  2.089968892E-02  2.089968860E-02 -3.686660245E-06 
        20  1.975037976E-05  2.750042252E-06  1.975037976E-05  2.750042252E-06  6.033873148E-01  2.387199495E-02  2.387199473E-02 -3.233973908E-06 
        21  1.728961317E-05  2.499997719E-07  1.728961317E-05  2.499997719E-07  6.463917150E+00  2.981541238E-03  2.981541032E-03 -1.107952381E-06 
        22  1.826514373E-05  1.750811663E-06  1.826514373E-05  1.750811663E-06  4.145643610E+00  1.731695827E-02  1.731695804E-02 -2.819226261E-06 
        23  1.778254693E-05  1.249507897E-06  1.778254693E-05  1.249507897E-06  5.292279523E+00  1.312417900E-02  1.312417881E-02 -2.251760031E-06 
        24  1.875382288E-05  2.250627538E-06  1.875382288E-05  2.250627538E-06  2.978571038E+00  2.089796794E-02  2.089796769E-02 -3.269636865E-06 
        25  1.729327008E-05  7.497520804E-07  1.729327008E-05  7.497520804E-07  6.455811217E+00  8.349780353E-03  8.349780324E-03 -6.981332901E-07 
        26  1.925082289E-05  2.749978872E-06  1.925082289E-05  2.749978872E-06  1.805721471E+00  2.388631788E-02  2.388631767E-02 -3.108394913E-06 
        27  1.975018989E-05  3.250021110E-06  1.975018989E-05  3.250021110E-06  6.043376731E-01  2.626228370E-02  2.626228357E-02 -2.647902755E-06 
        28  1.679546540E-05  2.499997719E-07  1.679546540E-05  2.499997719E-07  7.635962851E+00  2.980726986E-03  2.980726801E-03 -1.048671771E-06 
        29  1.777570279E-05  1.749420393E-06  1.777570279E-05  1.749420393E-06  5.311518705E+00  1.730561915E-02  1.730561905E-02 -1.909226414E-06 
        30  1.825813064E-05  2.250132258E-06  1.825813064E-05  2.250132258E-06  4.165260787E+00  2.089586746E-02  2.089586731E-02 -2.528256952E-06 
        31  1.729290643E-05  1.249439978E-06  1.729290643E-05  1.249439978E-06  6.459751867E+00  1.312423206E-02  1.312423198E-02 -1.465455445E-06 
        32  1.875113923E-05  2.750084441E-06  1.875113923E-05  2.750084441E-06  2.986875920E+00  2.388180749E-02  2.388180731E-02 -2.930478347E-06 
        33  1.679912376E-05  7.502455461E-07  1.679912376E-05  7.502455461E-07  7.629198657E+00  8.354036538E-03  8.354036538E-03  9.843098930E-08 
        34  1.925044307E-05  3.250021092E-06  1.925044307E-05  3.250021092E-06  1.807149236E+00  2.627713815E-02  2.627713804E-02 -2.424481151E-06 
        35  1.975009495E-05  3.750010551E-06  1.975009495E-05  3.750010551E-06  6.051382170E-01  2.805565061E-02  2.805565057E-02 -1.619469721E-06 
        36  1.630131762E-05  2.499997719E-07  1.630131762E-05  2.499997719E-07  8.803994957E+00  2.980598879E-03  2.980598759E-03 -8.462107445E-07 
        37  1.776730139E-05  2.250388342E-06  1.776730139E-05  2.250388342E-06  5.335951769E+00  2.089794916E-02  2.089794912E-02 -1.292427472E-06 
        38  1.728793909E-05  1.750060194E-06  1.728793909E-05  1.750060194E-06  6.475614218E+00  1.731161413E-02  1.731161413E-02 -1.452598303E-07 
        39  1.825377328E-05  2.750195721E-06  1.825377328E-05  2.750195721E-06  4.178105954E+00  2.388429812E-02  2.388429803E-02 -2.049496491E-06 
        40  1.680095024E-05  1.249629995E-06  1.680095024E-05  1.249629995E-06  7.629969821E+00  1.312652289E-02  1.312652288E-02  1.568639916E-07 
        41  1.875056970E-05  3.249978879E-06  1.875056970E-05  3.249978879E-06  2.989163350E+00  2.627191162E-02  2.627191154E-02 -1.978641122E-06 
        42  1.630497454E-05  7.497520802E-07  1.630497454E-05  7.497520802E-07  8.798884382E+00  8.350749299E-03  8.350749165E-03  1.492845630E-06 
        43  1.925020572E-05  3.749994719E-06  1.925020572E-05  3.749994719E-06  1.808593129E+00  2.807055221E-02  2.807055218E-02 -1.335694640E-06 
        44  1.975004747E-05  4.250005274E-06  1.975004747E-05  4.250005274E-06  6.027167541E-01  2.925112841E-02  2.925112835E-02 -1.918174074E-06 
        45  1.580716985E-05  2.499997718E-07  1.580716985E-05  2.499997718E-07  9.966434985E+00  2.980913514E-03  2.980913487E-03 -3.961457721E-07 
        46  1.727865516E-05  2.249963378E-06  1.727865516E-05  2.249963378E-06  6.504587727E+00  2.089651503E-02  2.089651497E-02  1.567746222E-06 
        47  1.776053789E-05  2.750291166E-06  1.776053789E-05  2.750291166E-06  5.355891992E+00  2.388511079E-02  2.388511079E-02 -1.879574818E-07 
