cellnumber     x-coordinate     y-coordinate     x-coordinate     y-coordinate         pressure velocity-magnitude       x-velocity       y-velocity 
         1  1.975493824E-05  2.500967177E-07  1.975493824E-05  2.500967177E-07  1.776839972E+00  8.941493313E-03  8.941491283E-03 -6.024803714E-06 
         2  1.975438741E-05  7.501299845E-07  1.975438741E-05  7.501299845E-07  1.766002972E+00  2.504669889E-02  2.504669832E-02 -5.345873484E-06 
         3  1.926451242E-05  2.494420745E-07  1.926451242E-05  2.494420745E-07  5.310714566E+00  8.944608700E-03  8.944607448E-03 -4.732604446E-06 
         4  1.926365578E-05  7.504980290E-07  1.926365578E-05  7.504980290E-07  5.304426711E+00  2.509668980E-02  2.509668947E-02 -4.106918784E-06 
         5  1.975303690E-05  1.250341656E-06  1.975303690E-05  1.250341656E-06  1.770835952E+00  3.937905039E-02  3.937904932E-02 -9.186645143E-06 
         6  1.877205648E-05  2.499997719E-07  1.877205648E-05  2.499997719E-07  8.797279010E+00  8.948032213E-03  8.948031740E-03 -2.909265447E-06 
         7  1.877163527E-05  7.499518084E-07  1.877163527E-05  7.499518084E-07  8.794889002E+00  2.505919577E-02  2.505919566E-02 -2.388525417E-06 
         8  1.925906872E-05  1.250281009E-06  1.925906872E-05  1.250281009E-06  5.341826441E+00  3.941798163E-02  3.941798040E-02 -9.865612508E-06 
         9  1.975151880E-05  1.750169783E-06  1.975151880E-05  1.750169783E-06  1.790992082E+00  5.190909906E-02  5.190909761E-02 -1.229044330E-05 
        10  1.827790871E-05  2.499997719E-07  1.827790871E-05  2.499997719E-07  1.233598718E+01  8.948768991E-03  8.948768052E-03 -4.098406304E-06 
        11  1.876468006E-05  1.250369461E-06  1.876468006E-05  1.250369461E-06  8.849188970E+00  3.939797816E-02  3.939797709E-02 -9.191185631E-06 
        12  1.827831150E-05  7.495906941E-07  1.827831150E-05  7.495906941E-07  1.232900106E+01  2.504861316E-02  2.504861306E-02 -2.175210457E-06 
        13  1.925462334E-05  1.750477397E-06  1.925462334E-05  1.750477397E-06  5.379273878E+00  5.195781235E-02  5.195781098E-02 -1.192144707E-05 
        14  1.975075949E-05  2.250084633E-06  1.975075949E-05  2.250084633E-06  1.804046746E+00  6.265574697E-02  6.265574577E-02 -1.226761136E-05 
        15  1.778376094E-05  2.499997719E-07  1.778376094E-05  2.499997719E-07  1.585956856E+01  8.944993352E-03  8.944992518E-03 -3.862416347E-06 
        16  1.827213997E-05  1.249485943E-06  1.827213997E-05  1.249485943E-06  1.237995407E+01  3.937491611E-02  3.937491518E-02 -8.581417364E-06 
        17  1.875837989E-05  1.750146761E-06  1.875837989E-05  1.750146761E-06  8.896690642E+00  5.193142542E-02  5.193142418E-02 -1.135338373E-05 
        18  1.778563376E-05  7.494634556E-07  1.778563376E-05  7.494634556E-07  1.584500027E+01  2.503881024E-02  2.503881008E-02 -2.802221752E-06 
        19  1.925177208E-05  2.250084427E-06  1.925177208E-05  2.250084427E-06  5.405315454E+00  6.269793186E-02  6.269793067E-02 -1.222130626E-05 
        20  1.975037976E-05  2.750042252E-06  1.975037976E-05  2.750042252E-06  1.809526042E+00  7.161558269E-02  7.161558192E-02 -1.048489770E-05 
        21  1.728961317E-05  2.499997719E-07  1.728961317E-05  2.499997719E-07  1.938435851E+01  8.943212337E-03  8.943211670E-03 -3.452504069E-06 
        22  1.826514373E-05  1.750811663E-06  1.826514373E-05  1.750811663E-06  1.243358664E+01  5.194893948E-02  5.194893856E-02 -9.821273118E-06 
        23  1.778254693E-05  1.249507897E-06  1.778254693E-05  1.249507897E-06  1.587158806E+01  3.936976776E-02  3.936976698E-02 -7.859186181E-06 
        24  1.875382288E-05  2.250627538E-06  1.875382288E-05  2.250627538E-06  8.933557372E+00  6.269278138E-02  6.269278036E-02 -1.129494964E-05 
        25  1.729327008E-05  7.497520804E-07  1.729327008E-05  7.497520804E-07  1.936052337E+01  2.504640328E-02  2.504640312E-02 -2.744885556E-06 
        26  1.925082289E-05  2.749978872E-06  1.925082289E-05  2.749978872E-06  5.415850420E+00  7.165837691E-02  7.165837614E-02 -1.047509502E-05 
        27  1.975018989E-05  3.250021110E-06  1.975018989E-05  3.250021110E-06  1.812109731E+00  7.878683640E-02  7.878683593E-02 -8.614005132E-06 
        28  1.679546540E-05  2.499997719E-07  1.679546540E-05  2.499997719E-07  2.289750958E+01  8.940455433E-03  8.940454827E-03 -3.292824754E-06 
        29  1.777570279E-05  1.749420393E-06  1.777570279E-05  1.749420393E-06  1.593026308E+01  5.191449609E-02  5.191449557E-02 -7.320281130E-06 
        30  1.825813064E-05  2.250132258E-06  1.825813064E-05  2.250132258E-06  1.249317116E+01  6.268634077E-02  6.268634008E-02 -9.273140266E-06 
        31  1.729290643E-05  1.249439978E-06  1.729290643E-05  1.249439978E-06  1.937237258E+01  3.936942223E-02  3.936942184E-02 -5.534006048E-06 
        32  1.875113923E-05  2.750084441E-06  1.875113923E-05  2.750084441E-06  8.959151648E+00  7.164500835E-02  7.164500761E-02 -1.029094330E-05 
        33  1.679912376E-05  7.502455461E-07  1.679912376E-05  7.502455461E-07  2.287793634E+01  2.505863232E-02  2.505863232E-02 -3.754732502E-07 
        34  1.925044307E-05  3.250021092E-06  1.925044307E-05  3.250021092E-06  5.420232326E+00  7.883140342E-02  7.883140299E-02 -8.277709003E-06 
        35  1.975009495E-05  3.750010551E-06  1.975009495E-05  3.750010551E-06  1.814393119E+00  8.416734794E-02  8.416734777E-02 -5.345419662E-06 
        36  1.630131762E-05  2.499997719E-07  1.630131762E-05  2.499997719E-07  2.639784316E+01  8.939746555E-03  8.939746162E-03 -2.649661437E-06 
        37  1.776730139E-05  2.250388342E-06  1.776730139E-05  2.250388342E-06  1.600438907E+01  6.269243834E-02  6.269243808E-02 -5.650327366E-06 
        38  1.728793909E-05  1.750060194E-06  1.728793909E-05  1.750060194E-06  1.942091381E+01  5.193217721E-02  5.193217717E-02 -2.004612802E-06 
        39  1.825377328E-05  2.750195721E-06  1.825377328E-05  2.750195721E-06  1.253253207E+01  7.165256372E-02  7.165256329E-02 -7.840188866E-06 
        40  1.680095024E-05  1.249629995E-06  1.680095024E-05  1.249629995E-06  2.288059475E+01  3.937584074E-02  3.937584073E-02 -5.844587634E-07 
        41  1.875056970E-05  3.249978879E-06  1.875056970E-05  3.249978879E-06  8.966421129E+00  7.881607971E-02  7.881607938E-02 -7.215467444E-06 
        42  1.630497454E-05  7.497520802E-07  1.630497454E-05  7.497520802E-07  2.638320554E+01  2.504830937E-02  2.504830906E-02  3.911050502E-06 
        43  1.925020572E-05  3.749994719E-06  1.925020572E-05  3.749994719E-06  5.424881425E+00  8.421216624E-02  8.421216610E-02 -4.811416854E-06 
        44  1.975004747E-05  4.250005274E-06  1.975004747E-05  4.250005274E-06  1.807425088E+00  8.775418661E-02  8.775418643E-02 -5.586500146E-06 
        45  1.580716985E-05  2.499997718E-07  1.580716985E-05  2.499997718E-07  2.987994723E+01  8.940409124E-03  8.940409031E-03 -1.293349460E-06 
        46  1.727865516E-05  2.249963378E-06  1.727865516E-05  2.249963378E-06  1.950927369E+01  6.268810610E-02  6.268810602E-02  3.019527328E-06 
        47  1.776053789E-05  2.750291166E-06  1.776053789E-05  2.750291166E-06  1.606547814E+01  7.165515571E-02  7.165515567E-02 -2.320908519E-06 
        48  1.679748995E-05  1.749895412E-06  1.679748995E-05  1.749895412E-06  2.292649931E+01  5.193499607E-02  5.193499500E-02  1.053372186E-05 
        49  1.825201340E-05  3.250139899E-06  1.825201340E-05  3.250139899E-06  1.255246405E+01  7.882492793E-02  7.882492778E-02 -4.777120153E-06 
        50  1.630680571E-05  1.250370188E-06  1.630680571E-05  1.250370188E-06  2.639843288E+01  3.940778295E-02  3.940778153E-02  1.059093084E-05 
        51  1.875028483E-05  3.750021096E-06  1.875028483E-05  3.750021096E-06  8.972701675E+00  8.419739196E-02  8.419739185E-02 -4.246732901E-06 
        52  1.581082821E-05  7.502455457E-07  1.581082821E-05  7.502455457E-07  2.987219487E+01  2.507228916E-02  2.507228612E-02  1.233392715E-05 
        53  1.925011077E-05  4.250005272E-06  1.925011077E-05  4.250005272E-06  5.416163431E+00  8.780137621E-02  8.780137611E-02 -4.083411459E-06 
        54  1.975002374E-05  4.750002637E-06  1.975002374E-05  4.750002637E-06  1.821146699E+00  8.954996845E-02  8.954996825E-02  6.062299787E-06 
        55  1.531302208E-05  2.499997716E-07  1.531302208E-05  2.499997716E-07  3.334171013E+01  8.946068262E-03  8.946068190E-03  1.140259719E-06 
        56  1.726959566E-05  2.750126961E-06  1.726959566E-05  2.750126961E-06  1.959433118E+01  7.165734941E-02  7.165734885E-02  8.952665386E-06 
        57  1.678807284E-05  2.249927470E-06  1.678807284E-05  2.249927470E-06  2.302642100E+01  6.269652552E-02  6.269652230E-02  2.009300758E-05 
        58  1.775627597E-05  3.250215053E-06  1.775627597E-05  3.250215053E-06  1.610920557E+01  7.882662966E-02  7.882662964E-02  1.373043931E-06 
